Source,Destination,Distance(M)
City_24,City_47,1114251
City_24,City_31,97187
City_24,City_54,1716028
City_24,City_53,1729925
City_24,City_19,1594107
City_24,City_12,774894
City_24,City_46,1146028
City_24,City_45,1147045
City_24,City_51,1107377
City_24,City_6,1688216
City_24,City_20,1615472
City_24,City_56,1636630
City_24,City_35,1053903
City_24,City_48,1300876
City_24,City_57,1680767
City_24,City_58,1631525
City_24,City_42,779502
City_24,City_13,1196159
City_24,City_14,1196841
City_24,City_37,241951
City_24,City_30,120625
City_24,City_5,1856194
City_24,City_41,1125010
City_24,City_52,1824783
City_24,City_26,483390
City_24,City_21,1726673
City_24,City_28,112889
City_24,City_36,655734
City_24,City_44,998340
City_24,City_43,1000942
City_24,City_10,573372
City_24,City_32,769950
City_24,City_33,765534
City_24,City_3,1737701
City_24,City_9,841611
City_24,City_34,1046816
City_24,City_59,1333367
City_24,City_16,1524304
City_24,City_29,112018
City_24,City_8,274070
City_24,City_40,1103678
City_24,City_11,537148
City_24,City_23,218056
City_24,City_4,1088437
City_24,City_25,185072
City_24,City_15,1483195
City_24,City_27,171089
City_24,City_55,1555616
City_24,City_39,284642
City_24,City_49,731149
City_24,City_17,1519676
City_24,City_38,298368
City_24,City_0,153665
City_24,City_1,134367
City_24,City_22,247702
City_24,City_2,130014
City_24,City_18,1506572
City_24,City_50,686933
City_24,City_60,2148113
City_24,City_7,1941250
City_24,City_61,737692
City_47,City_24,1116847
City_47,City_31,1030416
City_47,City_54,2294423
City_47,City_53,2308320
City_47,City_19,742750
City_47,City_12,1137421
City_47,City_46,236963
City_47,City_45,235156
City_47,City_51,767505
City_47,City_6,1038005
City_47,City_20,745051
City_47,City_56,955834
City_47,City_35,1371693
City_47,City_48,210488
City_47,City_57,968857
City_47,City_58,968184
City_47,City_42,372929
City_47,City_13,1237404
City_47,City_14,1236783
City_47,City_37,977606
City_47,City_30,1014362
City_47,City_5,2434589
City_47,City_41,746016
City_47,City_52,805068
City_47,City_26,1035618
City_47,City_21,605779
City_47,City_28,1032730
City_47,City_36,894265
City_47,City_44,570266
City_47,City_43,570681
City_47,City_10,1139643
City_47,City_32,354584
City_47,City_33,356116
City_47,City_3,1808219
City_47,City_9,1667713
City_47,City_34,1305839
City_47,City_59,1089026
City_47,City_16,642792
City_47,City_29,1041207
City_47,City_8,854835
City_47,City_40,724684
City_47,City_11,1363250
City_47,City_23,914260
City_47,City_4,1486358
City_47,City_25,938803
City_47,City_15,657882
City_47,City_27,975757
City_47,City_55,2134011
City_47,City_39,875646
City_47,City_49,831752
City_47,City_17,635059
City_47,City_38,970446
City_47,City_0,1039934
City_47,City_1,1060879
City_47,City_22,889536
City_47,City_2,1041012
City_47,City_18,642500
City_47,City_50,859440
City_47,City_60,1912116
City_47,City_7,1276660
City_47,City_61,839570
City_31,City_24,100228
City_31,City_47,1025732
City_31,City_54,1798391
City_31,City_53,1812288
City_31,City_19,1505588
City_31,City_12,830086
City_31,City_46,1101108
City_31,City_45,1102125
City_31,City_51,1019773
City_31,City_6,1658135
City_31,City_20,1526953
City_31,City_56,1606549
City_31,City_35,1082886
City_31,City_48,1212357
City_31,City_57,1650686
City_31,City_58,1601444
City_31,City_42,749421
City_31,City_13,1248448
City_31,City_14,1247827
City_31,City_37,174622
City_31,City_30,149684
City_31,City_5,1938557
City_31,City_41,1111041
City_31,City_52,1779863
City_31,City_26,514946
City_31,City_21,1638154
City_31,City_28,58358
City_31,City_36,673284
City_31,City_44,968772
City_31,City_43,967545
City_31,City_10,585430
City_31,City_32,681431
City_31,City_33,677015
City_31,City_3,1753916
City_31,City_9,923974
City_31,City_34,1075799
City_31,City_59,1323772
City_31,City_16,1435785
City_31,City_29,48291
City_31,City_8,243989
City_31,City_40,1089709
City_31,City_11,619511
City_31,City_23,187975
City_31,City_4,1129745
City_31,City_25,148153
City_31,City_15,1394676
City_31,City_27,113184
City_31,City_55,1637979
City_31,City_39,196123
City_31,City_49,643545
City_31,City_17,1431157
City_31,City_38,231039
City_31,City_0,118363
City_31,City_1,99404
City_31,City_22,217538
City_31,City_2,96495
City_31,City_18,1418053
City_31,City_50,599329
City_31,City_60,2138518
City_31,City_7,1911169
City_31,City_61,650088
City_54,City_24,1719341
City_54,City_47,2302410
City_54,City_31,1804665
City_54,City_53,18285
City_54,City_19,3036203
City_54,City_12,1195548
City_54,City_46,2209604
City_54,City_45,2210518
City_54,City_51,2775720
City_54,City_6,2515391
City_54,City_20,3038504
City_54,City_56,2567794
City_54,City_35,968106
City_54,City_48,2441150
